subject,label,coordinates,LOClabel,location,country,displaydate,displaystart,displayend,Duration,
http://www.wikidata.org/entity/Q557022,Battle of Hartmannswillerkopf,Point(7.161111111 47.861111111),Hartmannswillerkopf,http://www.wikidata.org/entity/Q325716,France,1914/8/26,,,0,
http://www.wikidata.org/entity/Q1527262,Battle of the Ailette,Point((49.58112 3.167575)),Ailette,http://www.wikidata.org/entity/Q405073,France,1918/8/30,1918/8/26,1918/8/30,4,
http://www.wikidata.org/entity/Q2331555,Battle of Neuve Chapelle,Point(2.7775 50.585),Neuve-Chapelle,http://www.wikidata.org/entity/Q1025314,France,1915/3/13,1915/3/10,1915/3/13,3,
http://www.wikidata.org/entity/Q1998995,Battle of Thiepval Ridge,Point(2.688388888 50.054527777),Thiepval,http://www.wikidata.org/entity/Q795615,France,1917/11/10,1917/7/31,1917/11/10,102,
http://www.wikidata.org/entity/Q4873010,Battle of the Scarpe,Point(2.894167 50.270556),Monchy-le-Preux,http://www.wikidata.org/entity/Q1027166,France,1915/11/6,1915/9/25,1915/11/6,42,
http://www.wikidata.org/entity/Q4871543,Battle of Le Grand Fayt,Point(3.8025 50.1142),Grand-Fayt,http://www.wikidata.org/entity/Q1105130,France,1917/4/20,1917/4/17,1917/4/20,3,
http://www.wikidata.org/entity/Q96943632,Battle of Frezenberg,Point((50.8678 2.9508)),Frezenberg,https://www.wikidata.org/wiki/Q2428934,Belgium,1918/7/4,,,0,
http://www.wikidata.org/entity/Q4872406,Battle of Soissons,Point(3.323611 49.381667),Soissons,https://www.wikidata.org/wiki/Q167152,France,1918/8/6,1918/5/27,1918/8/6,71,
http://www.wikidata.org/entity/Q2890781,Battle of Hamel,Point(2.57055556 49.89888889),Le Hamel,http://www.wikidata.org/entity/Q1246770,France,1915/5/8,,,0,
http://www.wikidata.org/entity/Q129117,Battle of Kitcheners' Wood,Point(2.922 50.89),,,Belgium,1918/1/1,1918/7/18,1918/7/22,4,
http://www.wikidata.org/entity/Q876417,Second Battle of the Marne,Point(3.66666667 49.08333333),Marne basin,http://www.wikidata.org/entity/Q46558295,France,1915/5/7,1915/4/17,1915/4/22,5,
http://www.wikidata.org/entity/Q1780536,Battle of Hill 60,Point(2.931666666 50.821388888),Hill 60,http://www.wikidata.org/entity/Q20036965,Belgium,1916/6/13,1916/6/2,1916/6/14,12,
http://www.wikidata.org/entity/Q4871771,Battle of Mont Sorrel,Point(2.94361 50.8464),Ypres Salient,http://www.wikidata.org/entity/Q2335316,Belgium,1915/4/25,1915/4/22,1915/4/25,3,
